,CMA1,CMA2,CMA3,CMA4,CK1,CK2,CK3,CK4,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,17898,5017,10790,0,0,0,0,1081,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV2,0,3257,2303,14379,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV3,0,0,0,0,0,0,20343,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV4,0,0,0,0,0,0,18538,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV5,0,0,845,3325,7521,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV6,0,2350,2178,7856,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV7,0,0,0,0,5120,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV8,0,0,0,0,396,5988,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV9,0,0,0,31,4337,323,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV10,0,0,0,0,0,0,0,4592,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00090
ASV11,0,0,0,0,4225,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143
ASV12,0,0,0,0,0,5224,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143
ASV13,2019,0,0,1062,538,0,0,88,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV14,1741,0,0,1784,0,0,0,108,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV15,0,0,0,2541,934,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00281
ASV16,0,0,0,1561,0,0,0,2009,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV17,1243,1542,1769,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV18,0,0,0,0,0,0,0,3419,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV19,0,0,0,0,0,0,0,3326,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00264
ASV20,599,0,0,0,0,3539,0,63,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV21,0,0,0,0,0,0,0,3170,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV22,0,0,0,0,0,0,0,3196,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV23,0,0,0,0,2846,369,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV24,0,0,0,0,0,0,0,2922,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00090
ASV25,0,0,0,0,0,0,0,2815,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV26,0,0,0,0,1759,1452,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV27,0,0,0,0,0,0,0,2786,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV28,0,0,0,0,0,0,0,2615,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00278
ASV29,0,0,0,0,4,0,0,2554,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV30,0,23,6,377,574,1111,0,787,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV31,1057,904,1152,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV32,0,95,4,784,62,1763,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00348
ASV33,1701,640,0,0,0,0,0,121,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00304
ASV34,0,0,0,0,0,2876,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV35,0,77,88,468,1151,447,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV36,0,0,0,119,0,2630,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV37,0,0,0,0,0,0,0,1996,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV38,0,2380,572,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV39,927,946,440,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156
ASV40,0,0,0,988,0,1034,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV41,1437,630,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00409
ASV42,322,0,1794,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00214
ASV43,0,0,0,509,0,1527,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV44,0,0,0,0,0,0,1917,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV45,0,908,1106,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00107
ASV46,1438,52,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV47,860,914,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00209
ASV48,1474,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV49,0,0,1780,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV50,0,21,0,532,328,601,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV51,0,0,0,0,20,1758,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV52,1374,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00056
ASV53,0,9,0,9,1318,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV54,0,1955,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV55,768,788,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV56,0,0,279,975,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143
ASV57,0,0,1476,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV58,0,29,0,27,728,509,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV59,1170,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV60,0,1715,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV61,0,0,0,0,0,1500,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV62,0,0,0,0,0,1489,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00125
ASV63,0,0,0,0,1044,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV64,0,46,36,32,838,95,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV65,604,0,462,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV66,0,1454,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063
ASV67,0,0,1205,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV68,0,0,0,37,859,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV69,0,0,1190,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00214
ASV70,0,1390,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00323
ASV71,0,0,0,0,24,1168,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV72,0,1359,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00409
ASV73,0,18,0,0,858,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV74,0,0,684,46,0,264,0,76,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV75,0,8,16,280,532,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352
ASV76,0,0,1075,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV77,0,0,0,0,0,1105,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV78,0,0,0,0,0,0,0,813,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00113
ASV79,0,0,0,725,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV80,0,734,0,35,235,71,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV81,0,0,0,0,799,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV82,0,0,0,31,588,228,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV83,0,998,0,0,0,0,0,129,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156
ASV84,0,1171,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00323
ASV85,0,0,933,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV86,0,0,0,0,686,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV87,0,1057,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156
ASV88,0,0,906,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00248
ASV89,0,0,890,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unassigned,Unassigned
ASV90,0,0,0,0,0,0,0,667,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV91,0,190,0,481,16,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV92,0,662,0,0,0,0,0,191,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV93,662,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV94,643,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV95,0,0,655,0,0,0,0,108,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV96,633,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV97,576,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV98,580,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00222
ASV99,0,0,719,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV100,0,824,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV101,0,0,0,516,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV102,0,803,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV103,0,0,653,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV104,538,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00419
ASV105,0,732,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV106,506,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV107,0,0,592,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00323
ASV108,0,704,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV109,0,0,583,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV110,441,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV111,0,0,547,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV112,0,0,0,137,44,316,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV113,0,612,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV114,0,0,520,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV115,0,0,520,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV116,0,0,0,0,0,0,0,402,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00090
ASV117,0,604,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156
ASV118,0,595,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV119,0,0,493,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV120,0,0,494,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV121,0,0,0,0,0,512,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV122,0,574,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00419
ASV123,0,0,0,0,0,496,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV124,0,0,0,0,371,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV125,0,553,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV126,0,0,0,0,0,488,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV127,0,0,0,0,298,76,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV128,0,226,233,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00348
ASV129,0,0,0,301,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV130,0,0,0,0,302,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV131,0,0,0,0,303,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV132,0,471,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00067
ASV133,0,0,0,0,0,0,384,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV134,279,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00301
ASV135,0,0,210,86,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV136,0,391,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00222
ASV137,0,0,0,0,0,350,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV138,0,0,46,0,201,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV139,0,0,0,138,79,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV140,0,0,288,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV141,0,0,278,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV142,0,0,0,34,139,62,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV143,0,0,0,0,221,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV144,0,118,0,105,10,15,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV145,0,0,0,173,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV146,0,0,0,0,0,0,0,190,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00418
ASV147,0,0,0,0,0,262,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV148,0,0,135,85,0,4,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV149,0,0,0,43,0,194,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV150,0,0,0,0,0,0,0,185,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV151,0,0,0,0,0,239,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV152,0,0,222,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00348
ASV153,0,0,0,0,0,227,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV154,0,12,0,149,9,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV155,0,0,0,0,0,229,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV156,0,0,216,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV157,0,0,0,0,148,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV158,0,0,0,0,0,0,184,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV159,154,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV160,0,0,0,0,0,0,0,146,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV161,0,0,0,0,0,0,0,144,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV162,0,0,0,0,149,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV163,0,74,23,0,0,100,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV164,0,0,0,0,150,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV165,0,0,0,0,0,0,0,125,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV166,0,0,0,0,0,0,152,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV167,0,0,0,0,0,0,0,119,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
